high,low,close
30.1983,29.4072,29.8720
30.2776,29.3182,30.2381
30.4458,29.9611,30.0996
29.3478,28.7443,28.9028
29.3477,28.5566,28.9225
29.2886,28.4081,28.4775
28.8334,28.0818,28.5566
28.7346,27.4289,27.5576
28.6654,27.6565,28.4675
28.8532,27.8345,28.2796
28.6356,27.3992,27.4882
27.6761,27.0927,27.2310
27.2112,26.1826,26.3507
26.8651,26.1332,26.3309
27.4090,26.6277,27.0333
26.9441,26.1332,26.2221
26.5189,25.4307,26.0144
26.5189,25.3518,25.4605
27.0927,25.8760,27.0333
27.6860,26.9640,27.4487
28.4477,27.1421,28.3586
28.5267,28.0123,28.4278
28.6654,27.8840,27.9530
29.0116,27.9928,29.0116
29.8720,28.7643,29.3776
29.8028,29.1402,29.3576
29.7529,28.7127,28.9107
30.6546,28.9290,30.6149
30.5951,30.0304,30.0502
30.7635,29.3863,30.1890
31.1698,30.1365,31.1202
30.8923,30.4267,30.5356
30.0402,29.3467,29.7827
30.6645,29.9906,30.0402
30.5951,29.5152,30.4861
31.9724,30.9418,31.4670
32.1011,31.5364,32.0515
32.0317,31.3580,31.9724
31.6255,30.9220,31.1302
31.8534,31.1994,31.6551
32.7055,32.1308,32.6360
32.7648,32.2298,32.5866
32.5766,31.9724,32.1903
32.1308,31.5562,32.1011
33.1215,32.2101,32.9335
33.1909,32.6262,33.0027
32.5172,31.7642,31.9425
32.4379,31.7840,32.3883
33.2207,32.0912,32.4875
