high,low,close
127.00900,125.35740,
127.61590,126.16330,
126.59110,124.92960,
127.34720,126.09370,
128.17300,126.81990,
128.43170,126.48170,
127.36710,126.03400,
126.42200,124.83010,
126.89950,126.39210,
126.84980,125.71560,
125.64600,124.56150,
125.71560,124.57150,
127.15820,125.06890,
127.71540,126.85970,127.28760
127.68550,126.63090,127.17810
128.22280,126.80010,128.01380
128.27250,126.71050,127.10850
128.09340,126.80010,127.72530
128.27250,126.13350,127.05870
127.73530,125.92450,127.32730
128.77000,126.98910,128.71030
129.28730,127.81480,127.87450
130.06330,128.47150,128.58090
129.11820,128.06410,128.60080
129.28730,127.60590,127.93420
128.47150,127.59600,128.11330
128.09340,126.99900,127.59600
128.65060,126.89950,127.59600
129.13810,127.48650,128.69040
128.64060,127.39700,128.27250
